,budget,id,imdb_id,original_language,title,popularity,release_date,revenue,runtime,vote_average,collection_id,collection_name,production companies,production_countries,genres,rating,rating_timestamp,key_agg
0,30000000,862,tt0114709,en,Toy Story,21.946943,1995-10-30,373554033,81.0,7.7,10194,Toy Story Collection,'Pixar Animation Studios','United States of America',"'Animation', 'Comedy', 'Family'",3.598930481283422,1996-07-25 13:23:13,"'jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life'"
1,58000000,710,tt0113189,en,GoldenEye,14.686035999999998,1995-11-16,352194034,130.0,6.6,645,James Bond Collection,"'United Artists', 'Eon Productions'","'United Kingdom', 'United States of America'","'Adventure', 'Action', 'Thriller'",2.7403335860500384,1996-04-22 10:47:26,"'cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army'"
2,30250000,8012,tt0113161,en,Get Shorty,12.669608,1995-10-20,115101622,105.0,6.4,91698,Chili Palmer Collection,"'Jersey Films', 'Metro-Goldwyn-Mayer (MGM)'",'United States of America',"'Comedy', 'Thriller', 'Crime'",3.8426966292134828,2004-05-15 16:37:35,"'gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con'"
3,19000000,755,tt0116367,en,From Dusk Till Dawn,15.339153,1996-01-19,25836616,108.0,6.9,10924,From Dusk Till Dawn Collection,"'A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax'",'United States of America',"'Horror', 'Action', 'Thriller', 'Crime'",3.3757961783439487,1996-05-16 04:05:35,"'dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor'"
4,17000000,27793,tt0110647,en,The NeverEnding Story III,6.252377,1994-10-26,0,95.0,4.4,91430,The Neverending Story Collection,"'Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax'","'Germany', 'United States of America'",'Fantasy',1.994199535962877,2009-01-05 18:02:10,"'flying', 'magic'"
5,100000000,414,tt0112462,en,Batman Forever,13.321354,1995-06-16,336529144,121.0,5.2,120794,Batman Collection,"'Warner Bros.', 'Polygram Filmed Entertainment'","'United Kingdom', 'United States of America'","'Action', 'Crime', 'Fantasy'",2.6159263271939333,1996-03-01 00:00:00,"'riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure'"
6,2000000,5894,tt0112541,en,Blue in the Face,11.528147,1995-09-15,1275000,83.0,6.8,439053,Brooklyn Cigar Store Collection,"'Miramax Films', 'InterAL'",'United States of America','Comedy',1.8333333333333333,2002-11-18 02:07:08,"'smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film'"
7,50000000,8839,tt0112642,en,Casper,12.812539,1995-05-26,287928194,100.0,6.0,8819,Casper Collection,"'Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company'",'United States of America',"'Fantasy', 'Comedy', 'Family'",1.8035714285714288,2004-08-24 01:24:19,"'halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children'"
8,90000000,1572,tt0112864,en,Die Hard: With a Vengeance,15.138855,1995-05-19,366101666,128.0,6.9,1570,Die Hard Collection,"'Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment'",'United States of America',"'Action', 'Thriller'",3.8298465829846586,1997-06-26 22:45:08,"'bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank'"
9,60000000,3512,tt0114781,en,Under Siege 2: Dark Territory,7.490247,1995-07-13,104324083,100.0,5.6,112399,Under Siege Collection,"'Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films'",'United States of America',"'Action', 'Thriller'",3.5611729019211324,2000-03-26 03:54:13,"'terrorist', 'pentagon', 'satellite', 'navy seal', 'train'"
10,2500000,76,tt0112471,en,Before Sunrise,11.304979,1995-01-27,5535405,105.0,7.7,123800,Before... Collection,"'Detour Film Production', 'Warner Bros.'","'Austria', 'Switzerland', 'United States of America'","'Drama', 'Romance'",3.016246953696182,1996-02-01 14:34:24,"'dialogue', 'sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna'"
11,27000,2292,tt0109445,en,Clerks,10.513367,1994-09-13,3151130,92.0,7.4,182813,Clerks Collection,"'Miramax Films', 'View Askew Productions'",'United States of America','Comedy',2.9318181818181817,1998-09-14 22:55:46,"'salesclerk', 'loser', 'aftercreditsstinger'"
