,budget,id,imdb_id,original_language,title,popularity,release_date,revenue,runtime,vote_average,collection_id,collection_name,production companies,production_countries,genres,rating,rating_timestamp,key_agg
672,280000000,99861,tt2395427,en,Avengers: Age of Ultron,37.37942,2015-04-22,1405403694,141.0,7.3,86311,The Avengers Collection,"'Marvel Studios', 'Prime Focus', 'Revolution Sun Studios'",'United States of America',"'Action', 'Adventure', 'Science Fiction'",3.2962962962962963,2013-01-16 08:05:50,"'marvel comic', 'sequel', 'superhero', 'based on comic', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d'"
348,94000000,122,tt0167260,en,The Lord of the Rings: The Return of the King,29.324358,2003-01-12,1118888979,201.0,8.1,119,The Lord of the Rings Collection,"'WingNut Films', 'New Line Cinema'","'New Zealand', 'United States of America'","'Adventure', 'Fantasy', 'Action'",2.8624662907575384,1996-03-28 18:29:50,"'elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery'"
451,200000000,58,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,29.455314,2006-06-20,1065659812,151.0,7.0,295,Pirates of the Caribbean Collection,"'Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions'",'United States of America',"'Adventure', 'Fantasy', 'Action'",3.9650108638645385,1996-01-29 00:00:00,"'witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger'"
562,380000000,1865,tt1298650,en,Pirates of the Caribbean: On Stranger Tides,27.88772,2011-05-14,1045713802,136.0,6.4,295,Pirates of the Caribbean Collection,"'Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)'",'United States of America',"'Adventure', 'Action', 'Fantasy'",3.4518779342723005,1998-07-01 10:11:32,"'sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d'"
509,185000000,155,tt0468569,en,The Dark Knight,123.167259,2008-07-16,1004558444,152.0,8.3,263,The Dark Knight Collection,"'DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy'","'United Kingdom', 'United States of America'","'Drama', 'Action', 'Crime', 'Thriller'",3.3953752843062928,1996-03-21 07:50:43,"'dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'gotham city', 'vigilante', 'joker', 'superhero', 'based on comic', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'imax', 'super villain', 'super powers', 'batman'"
288,125000000,671,tt0241527,en,Harry Potter and the Philosopher's Stone,38.187238,2001-11-16,976475550,152.0,7.5,1241,Harry Potter Collection,"'1492 Pictures', 'Warner Bros.', 'Heyday Films'","'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family'",3.6580491132332877,1996-04-12 16:51:44,"'witch', 'christmas party', 'magic', 'cutting the cord', 'halloween', 'child hero', 'broom', 'chosen one', 'frog', 'fantasy world', 'based on young adult novel'"
480,300000000,285,tt0449088,en,Pirates of the Caribbean: At World's End,31.363664,2007-05-19,961000000,169.0,6.9,295,Pirates of the Caribbean Collection,"'Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions'",'United States of America',"'Adventure', 'Fantasy', 'Action'",2.3693181818181817,1996-04-07 07:37:21,"'ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger'"
325,94000000,12,tt0266543,en,Finding Nemo,25.497794,2003-05-30,940335536,100.0,7.6,137697,Finding Nemo Collection,'Pixar Animation Studios','United States of America',"'Animation', 'Family'",2.6721787709497207,1996-01-29 00:00:00,"'father son relationship', 'harbor', 'underwater', 'fish tank', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father'"
487,150000000,675,tt0373889,en,Harry Potter and the Order of the Phoenix,21.3643,2007-06-28,938212738,138.0,7.4,1241,Harry Potter Collection,"'Warner Bros.', 'Heyday Films'","'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family', 'Mystery'",2.2903225806451615,1996-05-03 09:59:59,"'prophecy', 'witch', 'loss of lover', 'magic', 'cutting the cord', 'child hero', 'dying and death', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'black magic', 'death of a friend', 'sorcery', 'occultism'"
538,250000000,767,tt0417741,en,Harry Potter and the Half-Blood Prince,19.083723000000006,2009-07-07,933959197,153.0,7.4,1241,Harry Potter Collection,"'Warner Bros.', 'Heyday Films'","'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family'",3.534920634920635,1996-05-12 11:36:30,"'witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf'"
316,79000000,121,tt0167261,en,The Lord of the Rings: The Two Towers,29.423537,2002-12-18,926287400,179.0,8.0,119,The Lord of the Rings Collection,"'WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company'","'New Zealand', 'United States of America'","'Adventure', 'Fantasy', 'Action'",3.738927738927739,1996-04-27 00:31:40,"'elves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'explosive', 'cave', 'fort', 'army', 'mission', 'attack', 'guide', 'wizard', 'ring', 'sword and sorcery'"
175,115000000,1893,tt0120915,en,Star Wars: Episode I - The Phantom Menace,15.649091,1999-05-19,924317558,136.0,6.4,10,Star Wars Collection,'Lucasfilm','United States of America',"'Adventure', 'Action', 'Science Fiction'",3.6563981042654032,1998-07-05 08:39:54,"'prophecy', 'senate', 'queen', 'taskmaster', 'galaxy', 'apprentice', 'taxes', 'space opera'"
28,63000000,329,tt0107290,en,Jurassic Park,8.863776,1993-11-06,920100000,127.0,7.6,328,Jurassic Park Collection,"'Universal Pictures', 'Amblin Entertainment'",'United States of America',"'Adventure', 'Science Fiction'",3.3444071212630164,1996-03-01 00:00:00,"'exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park', 'jurassic park'"
362,150000000,809,tt0298148,en,Shrek 2,16.229860000000002,2004-05-19,919838758,93.0,6.7,2150,Shrek Collection,"'DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation'",'United States of America',"'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy'",2.8531855955678664,1996-07-15 20:15:56,"'prison', 'magic', 'liberation', 'honeymoon', 'parents-in-law', 'kingdom', 'enchantment', 'dancing scene', 'transformation', 'fairy-tale figure'"
435,150000000,674,tt0330373,en,Harry Potter and the Goblet of Fire,24.903057999999998,2005-05-11,895921036,157.0,7.5,1241,Harry Potter Collection,"'Patalex IV Productions Limited', 'Warner Bros.', 'Heyday Films'","'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family'",2.980796586059744,1996-05-12 11:35:53,"'magic', 'dying and death', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'chosen one', 'black magic', 'boarding school', 'vision', 'tournament', 'teenager', 'wizard', 'teenage hero', 'based on young adult novel'"
476,258000000,559,tt0413300,en,Spider-Man 3,27.614265000000003,2007-01-05,890871626,139.0,5.9,556,Spider-Man Collection,"'Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises'",'United States of America',"'Fantasy', 'Action', 'Adventure'",2.8363636363636364,1997-01-11 17:20:49,"'dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge'"
312,100000000,672,tt0295297,en,Harry Potter and the Chamber of Secrets,29.741452000000002,2002-11-13,876688482,161.0,7.4,1241,Harry Potter Collection,"'1492 Pictures', 'Heyday films', 'Warner Bros.'","'Germany', 'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family'",2.4285714285714284,1996-03-27 15:47:53,"'flying car', 'witch', 'magic', 'cutting the cord', 'child hero', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'giant snake', 'black magic', 'aftercreditsstinger'"
293,93000000,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,32.070725,2001-12-18,871368364,178.0,8.0,119,The Lord of the Rings Collection,"'WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company'","'New Zealand', 'United States of America'","'Adventure', 'Fantasy', 'Action'",2.882530120481928,1996-03-27 19:05:37,"'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'mountain', 'fireworks', 'castle', 'volcano', 'password', 'death of a friend', 'uncle', 'mirror', 'wizard', 'sword and sorcery'"
422,113000000,1895,tt0121766,en,Star Wars: Episode III - Revenge of the Sith,13.165420999999998,2005-05-17,850000000,140.0,7.1,10,Star Wars Collection,'Lucasfilm','United States of America',"'Science Fiction', 'Adventure', 'Action'",3.1990069779924846,1998-07-08 19:14:22,"'showdown', 'death star', 'vision', 'cult figure', 'hatred', 'dream sequence', 'expectant mother', 'space opera', 'chancel', 'childbirth', 'galactic war'"
617,130000000,101299,tt1951264,en,The Hunger Games: Catching Fire,25.309139000000002,2013-11-15,847423452,146.0,7.4,131635,The Hunger Games Collection,"'Lionsgate', 'Color Force'",'United States of America',"'Adventure', 'Action', 'Science Fiction'",3.0,2013-03-17 00:49:06,"'competition', 'based on novel', 'mentor', 'secret', 'factory', 'television', 'propaganda', 'future', 'dystopia', 'alliance', 'games', 'president', 'uprising', 'sequel', 'murder', 'survival', 'conspiracy', 'rebellion', 'blood', 'female protagonist', 'tournament', 'explosion', 'danger', 'imax', 'winner', 'based on young adult novel'"
537,150000000,8373,tt1055369,en,Transformers: Revenge of the Fallen,4.351756,2009-06-19,836297228,150.0,6.0,8650,Transformers Collection,"'Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios'",'United States of America',"'Science Fiction', 'Action', 'Adventure'",2.668036154478225,2004-06-10 15:18:16,"'egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger'"
43,75000000,602,tt0116629,en,Independence Day,17.634197,1996-06-25,816969268,145.0,6.7,304378,Independence Day Collection,"'Twentieth Century Fox Film Corporation', 'Centropolis Entertainment'",'United States of America',"'Action', 'Adventure', 'Science Fiction'",3.997191011235955,1996-10-23 11:06:55,"'spacecraft', 'patriotism', 'countdown', 'independence', 'invasion', 'war', 'ufo', 'extraterrestrial', 'spaceship', 'alien', 'battle'"
479,160000000,810,tt0413267,en,Shrek the Third,14.072479000000001,2007-05-17,798958165,93.0,6.0,2150,Shrek Collection,"'DreamWorks SKG', 'DreamWorks Animation'",'United States of America',"'Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family'",1.8581809657759023,1996-07-13 16:45:40,"'ambush', 'sadness', 'stage', 'liberation of prisoners', 'island', 'traitor', 'shipwreck', 'prince', 'ship', 'donkey', 'kingdom', 'theatre play', 'transformation', 'conciliation', 'tricks', 'heir to the throne', 'assault', 'boarding school', ""coup d'etat"", 'teacher', 'best friend', 'dragon', 'cowardliness', 'pregnancy', 'capture', 'duringcreditsstinger'"
363,130000000,673,tt0304141,en,Harry Potter and the Prisoner of Azkaban,28.460276,2004-05-31,789804554,141.0,7.7,1241,Harry Potter Collection,"'1492 Pictures', 'Heyday films', 'Warner Bros.'","'United Kingdom', 'United States of America'","'Adventure', 'Fantasy', 'Family'",2.754477552003855,1996-03-30 05:48:05,"'flying', 'traitor', 'magic', 'cutting the cord', 'child hero', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'griffon', 'black magic', 'time travel', 'best friend', 'werewolf', 'dark', 'muggle', 'aftercreditsstinger'"
20,45000000,8587,tt0110357,en,The Lion King,21.605760999999998,1994-06-23,788241776,89.0,8.0,94032,The Lion King Collection,"'Walt Disney Pictures', 'Walt Disney Feature Animation'",'United States of America',"'Family', 'Animation', 'Drama'",3.1617647058823533,2004-06-28 23:15:16,"'loss of parents', 'wild boar', 'uncle', 'shaman', 'redemption', 'king', 'scar', 'hyena', 'meerkat'"
517,185000000,217,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,12.577266,2008-05-21,786636033,122.0,5.7,84,Indiana Jones Collection,"'Lucasfilm', 'Paramount Pictures'",'United States of America',"'Adventure', 'Action'",2.731707317073171,1996-03-02 17:52:32,"'saving the world', 'riddle', 'whip', 'treasure', 'mexico city', 'leather jacket', 'machinegun', 'alien phenomenons', 'maya civilization', 'peru', 'treasure hunt', 'nuclear explosion', 'refrigerator', 'archaeologist', 'indiana jones', 'archeology\xa0'"
369,200000000,558,tt0316654,en,Spider-Man 2,10.834506,2004-06-25,783766341,127.0,6.7,556,Spider-Man Collection,"'Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises'",'United States of America',"'Action', 'Adventure', 'Fantasy'",2.8112582781456954,1996-06-29 16:19:03,"'dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain'"
