,budget,id,imdb_id,original_language,title,popularity,release_date,revenue,runtime,vote_average,collection_id,collection_name,production companies,production_countries,genres
0,30000000,862,tt0114709,en,Toy Story,21.946943,1995-10-30,373554033,81.0,7.7,10194,Toy Story Collection,['Pixar Animation Studios'],['United States of America'],"['Animation', 'Comedy', 'Family']"
1,0,15602,tt0113228,en,Grumpier Old Men,11.7129,1995-12-22,0,101.0,6.5,119050,Grumpy Old Men Collection,"['Warner Bros.', 'Lancaster Gate']",['United States of America'],"['Romance', 'Comedy']"
2,0,11862,tt0113041,en,Father of the Bride Part II,8.387519000000001,1995-02-10,76578911,106.0,5.7,96871,Father of the Bride Collection,"['Sandollar Productions', 'Touchstone Pictures']",['United States of America'],['Comedy']
3,58000000,710,tt0113189,en,GoldenEye,14.686035999999998,1995-11-16,352194034,130.0,6.6,645,James Bond Collection,"['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']","['Adventure', 'Action', 'Thriller']"
4,0,21032,tt0112453,en,Balto,12.140733,1995-12-22,11348324,78.0,7.1,117693,Balto Collection,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['United States of America'],"['Family', 'Animation', 'Adventure']"
5,30000000,9273,tt0112281,en,Ace Ventura: When Nature Calls,8.205447999999999,1995-11-10,212385533,90.0,6.1,3167,Ace Ventura Collection,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],"['Crime', 'Comedy', 'Adventure']"
6,30250000,8012,tt0113161,en,Get Shorty,12.669608,1995-10-20,115101622,105.0,6.4,91698,Chili Palmer Collection,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],"['Comedy', 'Thriller', 'Crime']"
7,30000000,9598,tt0112431,en,Babe,14.404764000000002,1995-07-18,254134910,89.0,6.0,9435,Babe Collection,"['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']","['Fantasy', 'Drama', 'Comedy', 'Family']"
8,18000000,9312,tt0113855,en,Mortal Kombat,10.870138,1995-08-18,122195920,101.0,5.4,9818,Mortal Kombat Collection,"['New Line Cinema', 'Threshold Entertainment']",['United States of America'],"['Action', 'Fantasy']"
9,55000000,10530,tt0114148,en,Pocahontas,13.280069000000001,1995-06-14,346079773,81.0,6.7,136214,Pocahontas Collection,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],"['Adventure', 'Animation', 'Drama', 'Family']"
10,0,11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12,2409225,92.0,2.8,124935,The Lawnmower Man Collection,['New Line Cinema'],['United States of America'],"['Action', 'Science Fiction']"
11,3500000,10634,tt0113118,en,Friday,14.56965,1995-04-26,28215918,91.0,7.0,43563,Friday Collection,['New Line Cinema'],['United States of America'],['Comedy']
12,19000000,755,tt0116367,en,From Dusk Till Dawn,15.339153,1996-01-19,25836616,108.0,6.9,10924,From Dusk Till Dawn Collection,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],"['Horror', 'Action', 'Thriller', 'Crime']"
13,20000000,9102,tt0114367,en,Screamers,12.758848,1995-09-08,5781885,108.0,6.1,122017,Screamers Collection,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']","['Canada', 'Japan', 'United States of America']","['Horror', 'Science Fiction']"
14,0,10874,tt0117110,en,Muppet Treasure Island,6.902423,1996-02-16,34327391,100.0,6.5,256377,The Muppet Collection,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",['United States of America'],"['Action', 'Comedy', 'Music', 'Family', 'Adventure']"
15,17000000,27793,tt0110647,en,The NeverEnding Story III,6.252377,1994-10-26,0,95.0,4.4,91430,The Neverending Story Collection,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']","['Germany', 'United States of America']",['Fantasy']
16,19000000,9737,tt0112442,en,Bad Boys,9.262184,1995-04-07,141407024,118.0,6.5,14890,Bad Boys Collection,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],"['Action', 'Comedy', 'Crime', 'Thriller']"
17,100000000,414,tt0112462,en,Batman Forever,13.321354000000001,1995-06-16,336529144,121.0,5.2,120794,Batman Collection,"['Warner Bros.', 'Polygram Filmed Entertainment']","['United Kingdom', 'United States of America']","['Action', 'Crime', 'Fantasy']"
18,2000000,5894,tt0112541,en,Blue in the Face,11.528147,1995-09-15,1275000,83.0,6.8,439053,Brooklyn Cigar Store Collection,"['Miramax Films', 'InterAL']",['United States of America'],['Comedy']
19,50000000,8839,tt0112642,en,Casper,12.812539,1995-05-26,287928194,100.0,6.0,8819,Casper Collection,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],"['Fantasy', 'Comedy', 'Family']"
20,90000000,1572,tt0112864,en,Die Hard: With a Vengeance,15.138855,1995-05-19,366101666,128.0,6.9,1570,Die Hard Collection,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",['United States of America'],"['Action', 'Thriller']"
21,0,9073,tt0113114,en,Free Willy 2 - The Adventure Home,7.575098,1995-07-19,0,95.0,5.5,9328,Free Willy Collection,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']","['France', 'United States of America']",['Adventure']
22,15000000,9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,7.024227000000001,1995-06-30,66000000,92.0,5.2,286162,Power Rangers Collection,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']","['Japan', 'United States of America']","['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
23,8,11980,tt0114194,en,The Prophecy,10.187623,1995-09-01,16,98.0,6.4,9068,The Prophecy Collection,['Dimension Films'],['United States of America'],"['Fantasy', 'Horror', 'Thriller']"
24,45000000,10802,tt0114436,en,Showgirls,17.502375,1995-09-22,20350754,128.0,4.9,247294,Showgirls Collection,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']","['France', 'United States of America']",['Drama']
25,7000000,10149,tt0114478,en,Smoke,5.5529459999999995,1995-06-09,8349430,112.0,7.2,439053,Brooklyn Cigar Store Collection,['Miramax Films'],"['Germany', 'Japan', 'United States of America']","['Comedy', 'Drama']"
26,35000000,9348,tt0114508,en,Species,13.492845,1995-07-07,113374103,108.0,5.5,9887,Species Collection,['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],"['Science Fiction', 'Horror', 'Action']"
27,60000000,3512,tt0114781,en,Under Siege 2: Dark Territory,7.490247,1995-07-13,104324083,100.0,5.6,112399,Under Siege Collection,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",['United States of America'],"['Action', 'Thriller']"
28,2500000,76,tt0112471,en,Before Sunrise,11.304979,1995-01-27,5535405,105.0,7.7,123800,Before... Collection,"['Detour Film Production', 'Warner Bros.']","['Austria', 'Switzerland', 'United States of America']","['Drama', 'Romance']"
29,27000,2292,tt0109445,en,Clerks,10.513367,1994-09-13,3151130,92.0,7.4,182813,Clerks Collection,"['Miramax Films', 'View Askew Productions']",['United States of America'],['Comedy']
30,16000000,8467,tt0109686,en,Dumb and Dumber,9.844558000000001,1994-12-16,247275374,107.0,6.5,96665,Dumb and Dumber Collection,"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']",['United States of America'],['Comedy']
31,0,15789,tt0113198,en,A Goofy Movie,10.177977,1995-04-07,35348597,78.0,6.7,410261,A Goofy Movie Collection,['Walt Disney Pictures'],['United States of America'],"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
32,11000000,11,tt0076759,en,Star Wars,42.149696999999996,1977-05-25,775398007,121.0,8.1,10,Star Wars Collection,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",['United States of America'],"['Adventure', 'Action', 'Science Fiction']"
33,0,63105,tt0113948,en,Nemesis 2 - Nebula,1.466491,1995-09-26,0,83.0,4.6,286948,Nemesis Collection,"['Filmwerks', 'Imperial Entertainment']",['United States of America'],"['Science Fiction', 'Action', 'Thriller']"
34,0,527,tt0110729,en,Once Were Warriors,4.025276,1994-09-02,2201126,99.0,7.6,300546,Once were Warriors Collection,"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']",['New Zealand'],['Drama']
35,0,18220,tt0114151,en,Poison Ivy II: Lily,6.448039,1996-01-16,0,106.0,4.6,48188,Poison Ivy Collection,"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']",['United States of America'],"['Drama', 'Romance', 'Thriller']"
36,0,110,tt0111495,fr,Trois couleurs : Rouge,7.832755000000001,1994-05-27,0,99.0,7.8,131,Three Colors Collection,"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'Télévision Suisse-Romande']","['France', 'Poland', 'Switzerland']","['Drama', 'Mystery', 'Romance']"
37,0,108,tt0108394,fr,Trois couleurs : Bleu,8.843517,1993-01-10,0,98.0,7.7,131,Three Colors Collection,"['France 3 Cinéma', 'CED Productions']","['France', 'Poland']","['Drama', 'Music', 'Mystery']"
38,0,109,tt0111507,fr,Trois couleurs : Blanc,6.5898,1994-01-26,0,91.0,7.3,131,Three Colors Collection,"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages']","['France', 'Poland']","['Comedy', 'Drama', 'Mystery']"
39,22000000,11395,tt0111070,en,The Santa Clause,9.665424,1994-11-10,189833357,97.0,6.3,53159,The Santa Clause Collection,"['Walt Disney Pictures', 'Hollywood Pictures']",['United States of America'],"['Fantasy', 'Drama', 'Comedy', 'Family']"
40,0,9059,tt0114608,en,Tales from the Crypt: Demon Knight,9.455342,1995-01-13,0,92.0,6.7,115142,Tales from the Crypt Collection,"['Universal Pictures', 'Tales From The Crypt Holdings']",['United States of America'],"['Horror', 'Comedy', 'Thriller']"
41,38000000,193,tt0111280,en,Star Trek: Generations,8.105708,1994-11-17,120000000,118.0,6.4,115570,Star Trek: The Next Generation Collection,['Paramount Pictures'],['United States of America'],"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
42,15000000,3049,tt0109040,en,Ace Ventura: Pet Detective,11.247957000000001,1994-02-04,107217396,86.0,6.4,3167,Ace Ventura Collection,"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],"['Comedy', 'Mystery']"
43,62000000,9331,tt0109444,en,Clear and Present Danger,7.5132449999999995,1994-08-03,215887717,141.0,6.4,192492,The Jack Ryan Collection,"['Paramount Pictures', 'Mace Neufeld Productions']",['United States of America'],"['Action', 'Drama', 'Thriller']"
44,15000000,9495,tt0109506,en,The Crow,15.799335999999998,1994-05-11,94000000,102.0,7.3,9436,The Crow Collection,"['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']",['United States of America'],"['Fantasy', 'Action', 'Thriller']"
